Data loaded!

8 Classes detected!
data_augmentation: False
depth_coefficient: 1.0
batch_size: 32
path_extension: 
crop_size: 224
width_coefficient: 1.0
learning_rate: 0.01
epochs: 200
img_size: 256
model_name: efficientnet
lr_scheduler: False
output_dir: results/efficientnet_sgd_0.01_d1.0_w1.0_r1.0_c1.0/
optimizer: sgd
resolution_coefficient: 1.0
compound_coefficient: 1.0
verbose: False

---- Start Training ----
[2019-06-05 01:56:07] Epoch 59, Train Loss: 0.513801, Val Loss: 0.840827, Train Acc: 81.45, Val Acc: 71.52
[2019-06-05 02:05:10] Epoch 60, Train Loss: 0.518107, Val Loss: 0.843724, Train Acc: 81.16, Val Acc: 71.47
[2019-06-05 02:14:12] Epoch 61, Train Loss: 0.499754, Val Loss: 0.789283, Train Acc: 81.52, Val Acc: 72.91
[2019-06-05 02:23:14] Epoch 62, Train Loss: 0.496716, Val Loss: 0.859471, Train Acc: 82.02, Val Acc: 71.62
[2019-06-05 02:32:16] Epoch 63, Train Loss: 0.486043, Val Loss: 0.862656, Train Acc: 82.42, Val Acc: 72.10
[2019-06-05 02:41:20] Epoch 64, Train Loss: 0.493573, Val Loss: 0.871718, Train Acc: 82.19, Val Acc: 72.68
[2019-06-05 02:50:21] Epoch 65, Train Loss: 0.474388, Val Loss: 0.946832, Train Acc: 82.68, Val Acc: 69.02
[2019-06-05 02:59:22] Epoch 66, Train Loss: 0.482985, Val Loss: 0.872238, Train Acc: 82.51, Val Acc: 70.65
[2019-06-05 03:08:23] Epoch 67, Train Loss: 0.471590, Val Loss: 0.880302, Train Acc: 82.63, Val Acc: 70.60
[2019-06-05 03:17:24] Epoch 68, Train Loss: 0.464109, Val Loss: 0.925931, Train Acc: 82.86, Val Acc: 69.02
[2019-06-05 03:26:26] Epoch 69, Train Loss: 0.467439, Val Loss: 0.942788, Train Acc: 82.81, Val Acc: 70.36
[2019-06-05 03:35:27] Epoch 70, Train Loss: 0.468820, Val Loss: 0.909805, Train Acc: 83.27, Val Acc: 69.41
[2019-06-05 03:44:29] Epoch 71, Train Loss: 0.459341, Val Loss: 0.952830, Train Acc: 83.24, Val Acc: 69.54
[2019-06-05 03:53:31] Epoch 72, Train Loss: 0.457195, Val Loss: 0.810090, Train Acc: 83.14, Val Acc: 72.78
[2019-06-05 04:02:32] Epoch 73, Train Loss: 0.442100, Val Loss: 0.959184, Train Acc: 83.99, Val Acc: 69.94
[2019-06-05 04:11:34] Epoch 74, Train Loss: 0.447594, Val Loss: 0.910343, Train Acc: 83.72, Val Acc: 72.07
[2019-06-05 04:20:35] Epoch 75, Train Loss: 0.436014, Val Loss: 0.982561, Train Acc: 84.31, Val Acc: 67.60
[2019-06-05 04:29:36] Epoch 76, Train Loss: 0.434971, Val Loss: 0.873524, Train Acc: 84.50, Val Acc: 71.91
[2019-06-05 04:38:37] Epoch 77, Train Loss: 0.422049, Val Loss: 0.826328, Train Acc: 84.75, Val Acc: 72.99
[2019-06-05 04:47:38] Epoch 78, Train Loss: 0.433851, Val Loss: 0.906262, Train Acc: 84.12, Val Acc: 70.99
[2019-06-05 04:56:40] Epoch 79, Train Loss: 0.423336, Val Loss: 0.958452, Train Acc: 84.80, Val Acc: 70.54
[2019-06-05 05:05:42] Epoch 80, Train Loss: 0.424931, Val Loss: 0.827978, Train Acc: 84.75, Val Acc: 73.60
