Data loaded!

8 Classes detected!
verbose: False
lr_scheduler: False
depth_coefficient: 1.0
learning_rate: 0.001
epochs: 200
compound_coefficient: 1.0
width_coefficient: 1.0
model_name: efficientnet
output_dir: results/efficientnet_adam_0.001_d1.0_w1.0_r1.0_c1.0/
crop_size: 224
batch_size: 32
data_augmentation: False
img_size: 256
resolution_coefficient: 1.0
optimizer: adam
path_extension: 

---- Start Training ----
[2019-06-05 05:03:06] Epoch 80, Train Loss: 0.642161, Val Loss: 0.818479, Train Acc: 76.25, Val Acc: 72.73
[2019-06-05 05:12:05] Epoch 81, Train Loss: 0.632061, Val Loss: 0.773787, Train Acc: 76.56, Val Acc: 71.97
[2019-06-05 05:21:03] Epoch 82, Train Loss: 0.630100, Val Loss: 0.781958, Train Acc: 76.67, Val Acc: 71.78
[2019-06-05 05:30:02] Epoch 83, Train Loss: 0.628729, Val Loss: 0.803549, Train Acc: 76.43, Val Acc: 70.68
[2019-06-05 05:39:01] Epoch 84, Train Loss: 0.628853, Val Loss: 0.779545, Train Acc: 76.79, Val Acc: 72.12
[2019-06-05 05:48:02] Epoch 85, Train Loss: 0.619333, Val Loss: 0.833246, Train Acc: 76.93, Val Acc: 69.62
[2019-06-05 05:57:05] Epoch 86, Train Loss: 0.618003, Val Loss: 0.769913, Train Acc: 77.15, Val Acc: 73.15
[2019-06-05 06:06:07] Epoch 87, Train Loss: 0.618538, Val Loss: 0.800522, Train Acc: 77.14, Val Acc: 72.10
[2019-06-05 06:15:07] Epoch 88, Train Loss: 0.614841, Val Loss: 0.784355, Train Acc: 77.45, Val Acc: 70.70
[2019-06-05 06:24:07] Epoch 89, Train Loss: 0.613579, Val Loss: 0.758791, Train Acc: 77.37, Val Acc: 72.44
[2019-06-05 06:33:07] Epoch 90, Train Loss: 0.604953, Val Loss: 0.770907, Train Acc: 77.41, Val Acc: 72.15
[2019-06-05 06:42:06] Epoch 91, Train Loss: 0.607611, Val Loss: 0.805131, Train Acc: 77.46, Val Acc: 71.23
[2019-06-05 06:51:06] Epoch 92, Train Loss: 0.609439, Val Loss: 0.754748, Train Acc: 77.28, Val Acc: 72.52
[2019-06-05 07:00:06] Epoch 93, Train Loss: 0.602551, Val Loss: 0.770301, Train Acc: 77.59, Val Acc: 72.68
[2019-06-05 07:09:08] Epoch 94, Train Loss: 0.602405, Val Loss: 0.791292, Train Acc: 77.62, Val Acc: 71.57
[2019-06-05 07:18:11] Epoch 95, Train Loss: 0.601436, Val Loss: 0.775597, Train Acc: 78.00, Val Acc: 72.20
[2019-06-05 07:27:11] Epoch 96, Train Loss: 0.595993, Val Loss: 0.785120, Train Acc: 77.87, Val Acc: 72.65
[2019-06-05 07:36:09] Epoch 97, Train Loss: 0.592099, Val Loss: 0.777937, Train Acc: 78.18, Val Acc: 71.78
[2019-06-05 07:45:11] Epoch 98, Train Loss: 0.591437, Val Loss: 0.765367, Train Acc: 78.19, Val Acc: 72.89
[2019-06-05 07:54:11] Epoch 99, Train Loss: 0.591211, Val Loss: 0.765733, Train Acc: 77.95, Val Acc: 72.78
[2019-06-05 08:03:12] Epoch 100, Train Loss: 0.593889, Val Loss: 0.784481, Train Acc: 78.00, Val Acc: 71.20
[2019-06-05 08:12:12] Epoch 101, Train Loss: 0.582735, Val Loss: 0.773682, Train Acc: 78.38, Val Acc: 71.44
[2019-06-05 08:21:13] Epoch 102, Train Loss: 0.578762, Val Loss: 0.777747, Train Acc: 78.72, Val Acc: 72.33
[2019-06-05 08:30:13] Epoch 103, Train Loss: 0.580015, Val Loss: 0.767632, Train Acc: 78.65, Val Acc: 73.05
[2019-06-05 08:39:12] Epoch 104, Train Loss: 0.583373, Val Loss: 0.790330, Train Acc: 78.37, Val Acc: 72.33
[2019-06-05 08:48:15] Epoch 105, Train Loss: 0.579020, Val Loss: 0.792959, Train Acc: 78.59, Val Acc: 70.91
[2019-06-05 08:57:15] Epoch 106, Train Loss: 0.575188, Val Loss: 0.795826, Train Acc: 78.82, Val Acc: 72.55
[2019-06-05 09:06:16] Epoch 107, Train Loss: 0.576759, Val Loss: 0.794642, Train Acc: 78.83, Val Acc: 72.26
[2019-06-05 09:15:19] Epoch 108, Train Loss: 0.567004, Val Loss: 0.801512, Train Acc: 78.90, Val Acc: 72.81
[2019-06-05 09:24:18] Epoch 109, Train Loss: 0.568407, Val Loss: 0.799584, Train Acc: 78.81, Val Acc: 72.28
[2019-06-05 09:33:18] Epoch 110, Train Loss: 0.564856, Val Loss: 0.767375, Train Acc: 79.09, Val Acc: 73.12
[2019-06-05 09:42:17] Epoch 111, Train Loss: 0.563396, Val Loss: 0.774462, Train Acc: 79.60, Val Acc: 73.49
[2019-06-05 09:51:18] Epoch 112, Train Loss: 0.560595, Val Loss: 0.749415, Train Acc: 79.60, Val Acc: 73.34
[2019-06-05 10:00:19] Epoch 113, Train Loss: 0.567331, Val Loss: 0.780816, Train Acc: 79.33, Val Acc: 72.73
[2019-06-05 10:09:18] Epoch 114, Train Loss: 0.562643, Val Loss: 0.802695, Train Acc: 79.06, Val Acc: 72.33
