Data loaded!

8 Classes detected!
data_augmentation: False
lr_scheduler: False
img_size: 256
depth_coefficient: 1.0
crop_size: 224
optimizer: sgd
width_coefficient: 1.0
resolution_coefficient: 1.0
path_extension: 
epochs: 200
verbose: False
batch_size: 32
compound_coefficient: 1.0
model_name: efficientnet
output_dir: results/efficientnet_sgd_1_d1.0_w1.0_r1.0_c1.0/
learning_rate: 1.0

---- Start Training ----
[2019-06-06 09:56:56] Epoch 161, LR: 1.000000, Train Loss: 0.015514, Val Loss: 1.823659, Train Acc: 99.49, Val Acc: 77.15
[2019-06-06 10:10:41] Epoch 162, LR: 1.000000, Train Loss: 0.010693, Val Loss: 2.018158, Train Acc: 99.65, Val Acc: 77.60
[2019-06-06 10:24:24] Epoch 163, LR: 1.000000, Train Loss: 0.012584, Val Loss: 1.827951, Train Acc: 99.67, Val Acc: 77.57
[2019-06-06 10:38:07] Epoch 164, LR: 1.000000, Train Loss: 0.012277, Val Loss: 1.940872, Train Acc: 99.58, Val Acc: 77.63
[2019-06-06 10:51:51] Epoch 165, LR: 1.000000, Train Loss: 0.010273, Val Loss: 1.989629, Train Acc: 99.71, Val Acc: 77.55
[2019-06-06 11:05:34] Epoch 166, LR: 1.000000, Train Loss: 0.011848, Val Loss: 1.935911, Train Acc: 99.63, Val Acc: 77.81
[2019-06-06 11:19:17] Epoch 167, LR: 1.000000, Train Loss: 0.010525, Val Loss: 1.824124, Train Acc: 99.68, Val Acc: 77.97
[2019-06-06 11:33:01] Epoch 168, LR: 1.000000, Train Loss: 0.007855, Val Loss: 1.991723, Train Acc: 99.73, Val Acc: 77.65
[2019-06-06 11:46:43] Epoch 169, LR: 1.000000, Train Loss: 0.005761, Val Loss: 2.042130, Train Acc: 99.82, Val Acc: 77.86
[2019-06-06 12:00:26] Epoch 170, LR: 1.000000, Train Loss: 0.009516, Val Loss: 1.852999, Train Acc: 99.66, Val Acc: 78.23
[2019-06-06 12:14:10] Epoch 171, LR: 1.000000, Train Loss: 0.008287, Val Loss: 2.110891, Train Acc: 99.71, Val Acc: 77.89
[2019-06-06 12:27:53] Epoch 172, LR: 1.000000, Train Loss: 0.012670, Val Loss: 2.005008, Train Acc: 99.64, Val Acc: 76.68
[2019-06-06 12:41:37] Epoch 173, LR: 1.000000, Train Loss: 0.010007, Val Loss: 1.948848, Train Acc: 99.64, Val Acc: 77.52
[2019-06-06 12:55:21] Epoch 174, LR: 1.000000, Train Loss: 0.007410, Val Loss: 1.922500, Train Acc: 99.76, Val Acc: 78.10
[2019-06-06 13:09:05] Epoch 175, LR: 1.000000, Train Loss: 0.008561, Val Loss: 1.939946, Train Acc: 99.73, Val Acc: 77.78
